Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP011,E,1,10,FF0128,Milk,alexandre family famr a2/a2 organic plain yogurt,LPS+,sample,1.038,30979,1.843,116.249,94.257,118.226
20251114,1,BP011,E,2,10,FF0129,Milk,la fermiere creamy whole milk yogurt,LPS+,sample,0.999,27645,1.748,111.626,83.757,110.366
20251114,1,BP011,E,3,10,FF0130,Milk,good culture cottage cheese,LPS+,sample,0.988,26994,1.908,110.336,81.707,123.566
20251114,1,BP011,E,4,10,FF0131,Milk,vermont creamery creme fraiche,LPS+,sample,1.058,27435,1.914,118.529,83.096,124.080
20251114,1,BP011,E,5,10,FF0132,Milk,good culture cream cheese spread,LPS+,sample,1.043,29658,1.868,116.792,90.097,120.291
20251114,1,BP011,E,6,10,FF0133,Milk,le chatelain camembert,LPS+,sample,0.911,40455,1.869,101.378,124.101,120.407
20251114,1,BP011,E,7,10,FF0134,Milk,jasper hill farm willoughby,LPS+,sample,0.852,48181,1.427,94.440,148.433,83.726
20251114,1,BP011,E,8,10,FF0135,Milk,jasper hill farm cabot clothbound,LPS+,sample,0.901,31240,1.838,100.163,95.079,117.787
20251114,1,BP011,E,9,10,FF0136,Milk,rivoir-jacques vache comte,LPS+,sample,0.856,20097,1.832,94.927,59.985,117.281
20251114,1,BP011,E,10,10,FF0137,Milk,le gryuere switzerland,LPS+,sample,0.896,21268,1.751,99.589,63.673,110.615
20251114,1,BP011,E,11,10,negative_control,Control,PBS,LPS-,negative control,0.044,878,1.317,0.155,-0.543,74.606
20251114,1,BP011,E,12,10,negative_control,Control,PBS,LPS-,negative control,0.042,1058,1.212,0.013,0.024,65.925
20251114,1,BP011,F,1,10,FF0128,Milk,alexandre family famr a2/a2 organic plain yogurt,LPS+,sample,1.043,29748,1.947,116.755,90.380,126.874
20251114,1,BP011,F,2,10,FF0129,Milk,la fermiere creamy whole milk yogurt,LPS+,sample,0.952,23170,1.859,106.220,69.663,119.503
20251114,1,BP011,F,3,10,FF0130,Milk,good culture cottage cheese,LPS+,sample,0.932,30098,1.926,103.840,91.482,125.117
20251114,1,BP011,F,4,10,FF0131,Milk,vermont creamery creme fraiche,LPS+,sample,1.049,28446,1.990,117.508,86.280,130.406
20251114,1,BP011,F,5,10,FF0132,Milk,good culture cream cheese spread,LPS+,sample,1.020,31200,1.775,114.122,94.953,112.580
20251114,1,BP011,F,6,10,FF0133,Milk,le chatelain camembert,LPS+,sample,0.963,32011,1.879,107.480,97.507,121.211
20251114,1,BP011,F,7,10,FF0134,Milk,jasper hill farm willoughby,LPS+,sample,0.987,31690,1.862,110.274,96.496,119.785
20251114,1,BP011,F,8,10,FF0135,Milk,jasper hill farm cabot clothbound,LPS+,sample,0.932,29738,1.784,103.861,90.349,113.293
20251114,1,BP011,F,9,10,FF0136,Milk,rivoir-jacques vache comte,LPS+,sample,0.868,19927,1.875,96.381,59.450,120.888
20251114,1,BP011,F,10,10,FF0137,Milk,le gryuere switzerland,LPS+,sample,0.844,24331,1.787,93.583,73.320,113.575
20251114,1,BP011,F,11,10,negative_control,Control,PBS,LPS-,negative control,0.041,1108,1.256,-0.157,0.181,69.548
20251114,1,BP011,F,12,10,negative_control,Control,PBS,LPS-,negative control,0.042,1158,1.246,-0.011,0.339,68.735
20251114,1,BP011,G,1,10,FF0138,Milk,beemster aged gouda,LPS+,sample,1.029,25062,2.235,115.203,75.622,150.737
